company_code,short_name,country,isin_code,sector_group,sector,share_currency,reference_currency
7487,Supalai,Thailand,TH0371010Z05,real estate,diversified real estate,THB,THB
7488,TISCO Financial,Thailand,TH0999010Z03,services,banking,THB,THB
7489,Tesco Lotus,Thailand,TH3226010009,services,financial services,THB,THB
7490,Srisawad Corp,Thailand,TH5456010Y00,services,financial services,THB,THB
7491,Muangthai,Thailand,TH6068010003,services,financial services,THB,THB
7492,Tipco Asphalt,Thailand,TH0219010Z06,industrial,petroleum refiners and distributors,THB,THB
7493,Star Petroleum,Thailand,TH6838010002,industrial,petroleum refiners and distributors,THB,THB
7494,Bangkok Ins,Thailand,TH0042010007,services,insurance — general,THB,THB
7495,Vibhavadi Medic,Thailand,TH0295A10Z07,healthcare,healthcare services,THB,THB
7496,Singha Estate,Thailand,TH0940010Y08,real estate,residential real estate,THB,THB
7497,Samitivej,Thailand,TH0190010007,healthcare,healthcare services,THB,THB
7498,Gunkul Eng,Thailand,TH1041010Z03,utilities,electricity distribution and generation,THB,THB
7499,BIG Camera,Thailand,TH0234B10Z00,IT,computers phones and devices,THB,THB
7500,Eastern Polymer,Thailand,TH6128010001,industrial,rubber and plastics,THB,THB
7501,Chularat Hosp,Thailand,TH4539010Z03,healthcare,healthcare services,THB,THB
7502,Asia Aviation,Thailand,TH3437010004,transport,airlines,THB,THB
7503,Bangkok Chain,Thailand,TH0808010Y07,healthcare,healthcare services,THB,THB
7504,President Bky,Thailand,TH0687010Z04,consumer,food manufacturers,THB,THB
7505,Carbures,Spain,ES0116162068,industrial,fabricated metal and composite products,EUR,EUR
7506,Taishin Fin,Taiwan,TW0002887007,services,financial services,TWD,TWD
7507,Nien Made Enter,Taiwan,TW0008464009,consumer,miscellaneous consumer services,TWD,TWD
7508,Novatek Micro,Taiwan,TW0003034005,consumer,food manufacturers,TWD,TWD
7509,WPG,Taiwan,TW0003702007,electrical electronic,electronic components,TWD,TWD
7510,Shin Kong Fin,Taiwan,TW0002888005,services,insurance — life and health,TWD,TWD
7511,Chailease,Taiwan,KYG202881093,services,financial services,TWD,TWD
7512,Powertech Tech,Taiwan,TW0006239007,electrical electronic,electronic components,TWD,TWD
7513,Yulon Nissan,Taiwan,TW0002227006,vehicles,auto parts and components,TWD,TWD
7514,Standard Foods,Taiwan,TW0001227007,consumer,food manufacturers,TWD,TWD
7515,Synnex Tech Int,Taiwan,TW0002347002,IT,computers phones and devices,TWD,TWD
7516,Micro,Taiwan,TW0002377009,IT,computers phones and devices,TWD,TWD
7517,Highwealth Cons,Taiwan,TW0002542008,construction,construction — residential,TWD,TWD
7518,Zhen Ding Tech,Taiwan,KYG989221000,electrical electronic,electronic components,TWD,TWD
7519,Ruentex Dev,Taiwan,TW0009945006,real estate,residential real estate,TWD,TWD
7520,Formosa Taffeta,Taiwan,TW0001434009,consumer,textiles,TWD,TWD
7521,Taiwan Bus Bank,Taiwan,TW0002834009,services,banking,TWD,TWD
7522,Investec Prop,South Africa,ZAE000180915,services,financial services,ZAR,ZAR
7523,Advtech,South Africa,ZAE000031035,services,education,ZAR,ZAR
7524,Mas Real Estate,South Africa,VGG5884M1041,real estate,office commercial and industrial real estate,ZAR,ZAR
7525,Ascendis Health,South Africa,ZAE000185005,healthcare,healthcare products,ZAR,ZAR
7526,City Lodge Hotl,South Africa,ZAE000117792,consumer,hotels travel gambling and leisure,ZAR,ZAR
7527,Choppies Enter,South Africa,BW0000001072,consumer,supermarkets,ZAR,ZAR
7528,Peregrine,South Africa,ZAE000078127,services,financial services,ZAR,ZAR
7530,African Oxygen,South Africa,ZAE000067120,chemicals,chemicals and petrochemicals,ZAR,ZAR
7531,Transaction Cap,South Africa,ZAE000167391,services,financial services,ZAR,ZAR
7532,DRDGOLD,South Africa,ZAE000058723,primary production,metals and minerals mining and exploration,ZAR,ZAR
7533,Melrose Inds,UK,GB00BZ1G4322,industrial,diversified industrial,GBP,GBP
7534,Agta Record,Switzerland,CH0008853209,industrial,building and construction materials,EUR,EUR
7535,Aroundtown,Cyprus,LU1673108939,real estate,diversified real estate,EUR,EUR
7536,Beni Stabili,Italy,IT0001389631,real estate,office commercial and industrial real estate,EUR,EUR
7537,Euronext,Netherlands,NL0006294274,services,financial services,EUR,EUR
7538,Altamir,France,FR0000053837,services,financial services,EUR,EUR
7539,Altarea,France,FR0000033219,real estate,diversified real estate,EUR,EUR
7540,Alten,France,FR0000071946,services,engineering and technical services,EUR,EUR
7541,Altran Tech,France,FR0000034639,services,professional services and consulting,EUR,EUR
7542,Amundi,France,FR0004125920,services,financial services,EUR,EUR
7543,April,France,FR0004037125,services,insurance — general,EUR,EUR
7544,Assystem,France,FR0000074148,services,engineering and technical services,EUR,EUR
7545,Bains Monaco,France,MC0000031187,consumer,hotels travel gambling and leisure,EUR,EUR
7546,Beneteau,France,FR0000035164,consumer,sports equipment manufacturers and retailers,EUR,EUR
7547,Bonduelle,France,FR0000063935,consumer,food manufacturers,EUR,EUR
7548,Bourbon,France,FR0004548873,industrial,marine salvage dredging offshore services,EUR,EUR
7550,CRCAM Paris,France,FR0000045528,services,banking,EUR,EUR
7551,CRCAM Touraine,France,FR0000045304,services,banking,EUR,EUR
7552,CRCAM Vendee,France,FR0000185506,services,banking,EUR,EUR
7553,CRCAM Loire,France,FR0000045239,services,banking,EUR,EUR
7554,CRCAM Sud Rhone,France,FR0000045346,services,banking,EUR,EUR
7555,CeGeREAL,France,FR0010309096,real estate,office commercial and industrial real estate,EUR,EUR
7557,CFM Indosuez,France,MC0010000826,services,banking,EUR,EUR
7558,Cnova,France,NL0010949392,services,business services,EUR,EUR
7559,Coface,France,FR0010667147,services,insurance — general,EUR,EUR
7560,Colas,France,FR0000121634,construction,infrastructure construction and services,EUR,EUR
7561,Cie des Alpes,France,FR0000053324,consumer,hotels travel gambling and leisure,EUR,EUR
7562,Cambodge Cie,France,FR0000079659,transport,transport logistics and distribution,EUR,EUR
7563,Plastic Omnium,France,FR0000124570,vehicles,auto parts and components,EUR,EUR
7564,CRCAM Alpes,France,FR0000044323,services,banking,EUR,EUR
7565,CRCAM Brie,France,FR0010483768,services,banking,EUR,EUR
