period,accountsPayable,accountsReceivableTradeNet,accruedExpenses,accumulatedDepreciationTotal,additionalPaidInCapital,cashEquivalents,cashandShortTermInvestments,commonStockTotal,currentPortofLTDebtCapitalLeases,goodwillNet,intangiblesNet,longTermDebt,longTermInvestments,minorityInterest_x,noteReceivableLongTerm,notesPayableShortTermDebt,otherCurrentAssetsTotal,otherCurrentliabilitiesTotal,otherEquityTotal,otherLiabilitiesTotal,otherLongTermAssetsTotal,otherReceivables,prepaidExpenses,propertyPlantEquipmentTotalGross,propertyPlantEquipmentTotalNet,retainedEarnings,shortTermInvestments,tangibleBookValueperShare,totalAssets,totalCommonSharesOutstanding,totalCurrentAssets,totalCurrentLiabilities,totalDebt,totalEquity,totalInventory,totalLiabilities,totalLiabilitiesShareholdersEquity,totalLongTermDebt,totalReceivablesNet,treasuryStockCommon,unrealizedGainLoss,costofRevenueTotal,dilutedAverageShares,dilutedEPS,grossProfit,interestExpIncNetOperatingTotal,interestIncExpNetNonOperatingTotal,minorityInterest_y,netIncome,netIncomeAfterTaxes,netIncomeBeforeTaxes,operatingIncome,otherNonOperatingIncExpNet,otherOperatingExpensesTotal,provisionforIncomeTaxes,researchDevelopment,revenue,sellingGeneralAdminExpensesTotal,totalOperatingExpense,unusualExpenseIncome,amortization,capitalExpenditures,cashInterestPaid,cashTaxesPaid,cashfromFinancingActivities,cashfromInvestingActivities,cashfromOperatingActivities,changesinWorkingCapital,deferredTaxes,depreciationDepletion,financingCashFlowItems,foreignExchangeEffects,issuanceRetirementofDebtNet,issuanceRetirementofStockNet,netChangeinCash,netIncomeStartingLine,nonCashItems,otherInvestingCashFlowItemsTotal,totalCashDividendsPaid,ticker,market,deferredIncomeTax,preferredStockNonRedeemableNet,depreciationAmortization,equityInAffiliates,otherRevenueTotal,totalAdjustmentstoNetIncome,minorityInterest,payableAccrued,gainLossonSaleofAssets,cash,redeemablePreferredStockTotal,deferredPolicyAcquisitionCosts,insuranceReceivables,otherAssetsTotal,policyLiabilities,amortizationofPolicyAcquisitionCosts,lossesBenefitsandAdjustmentsTotal,netInvestmentIncome,realizedUnrealizedGainsLosses,totalPremiumsEarned,eSOPDebtGuarantee,totalPreferredSharesOutstanding,totalUtilityPlantNet,fuelExpense,operationsMaintenance,allowanceforFundsUsedDuringConst,cashDuefromBanks,customerLiabilityAcceptances,netLoans,otherBearingLiabilitiesTotal,otherEarningAssetsTotal,totalDeposits,totalShortTermBorrowings,interestIncomeBank,loanLossProvision,netInterestIncAfterLoanLossProv,netInterestIncome,nonInterestExpenseBank,nonInterestIncomeBank,totalInterestExpense,cashPayments,cashReceipts,uSGAAPAdjustment
2020-06-30,513.517,950.636,457.165,-2104.148,402.653,274.654,274.654,1.671,,,196.042,1307.019,,,,0.0,,,,185.39,186.497,0.0,319.407,5730.544,3626.396,4762.295,,20.80238,5553.632,105.50722,1544.697,970.682,1307.019,2390.843,,3162.789,5553.632,1307.019,950.636,-2775.776,,1743.026,105.505,1.15348,402.547,,-12.818,,121.698,121.698,162.365,175.183,,44.466,40.667,,2145.573,52.6,227.36400000000003,,,-175.49500000000003,8.098000000000003,30.146,-28.769000000000005,-135.818,390.78700000000003,124.526,-14.849,130.29799999999997,,,0.5059999999999999,-0.7880000000000109,226.2,121.69800000000001,29.114,39.677,-28.487,JBHT,US,699.698,,130.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,497.649,978.28,411.727,-2064.273,388.577,48.454,48.454,1.671,,,199.437,1302.756,29.3,,,0.0,,,,170.944,135.036,0.0,371.235,5682.573,3618.3,4669.084,,19.75127,5380.042,105.46063,1397.969,909.376,1302.756,2282.418,,3097.624,5380.042,1302.756,978.28,-2776.914,,1897.121,106.95,0.98022,383.705,,-12.036,,104.834,104.834,142.705,154.741,,45.673,37.871,,2280.826,53.196,228.96399999999994,,,-166.814,21.673,1.173,-107.001,-128.708,249.163,-32.182,15.47,130.095,,,0.507,-78.82,13.454,104.834,30.946,38.106,-28.688,JBHT,US,714.548,,130.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,602.601,1011.829,433.165,-2019.94,374.049,35.0,35.0,1.671,0.0,96.326,106.506,1295.74,20.4,,,0.0,,,,173.241,19.957,230.33100000000013,183.033,5640.806,3746.366,4592.938,,19.43452,5470.854,106.21291,1481.299,1035.766,1295.74,2267.029,21.106,3203.825,5470.854,1295.74,1242.16,-2701.629,,2009.539,107.521,1.34556,440.785,,-12.777,,144.676,144.676,192.298,205.075,,46.633,47.622,,2450.324,60.66,235.7099999999998,,,-131.74400000000003,4.609999999999999,37.943,-81.83800000000002,-119.04599999999994,160.75199999999995,-193.242,54.973,128.41699999999997,,,0.5080000000000098,-54.616000000000014,-40.132,144.67600000000004,25.927999999999997,12.698,-27.72999999999999,JBHT,US,699.078,,128.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,654.959,1051.027,420.065,-1964.927,367.943,75.132,75.132,1.671,0.0,,189.863,1293.312,19.4,,,0.0,,,,180.367,20.456,0.0,257.297,5615.289,3773.162,4475.992,,18.80001,5386.337,106.5779,1383.456,1075.024,1293.312,2193.529,,3192.808,5386.337,1293.312,1051.027,-2652.077,,1953.057,107.692,1.09952,410.603,,-12.357,,118.41,118.41,155.505,167.862,,58.222,37.095,,2363.66,57.716,242.74099999999976,,,-167.24,22.064999999999998,17.944,-151.68,-110.99700000000007,330.9340000000001,89.28299999999999,-31.957,126.804,,,-77.59299999999999,-46.27799999999999,68.25699999999999,118.41,28.394,56.242999999999995,-27.809000000000005,JBHT,US,644.105,,126.803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,640.324,1040.153,421.198,-1957.782,367.166,6.875,6.875,1.671,0.0,,193.403,1372.143,19.1,,,0.0,,,,175.656,21.487,0.0,337.336,5635.867,3802.385,4385.391,,18.1885,5420.739,106.76815,1384.364,1061.522,1372.143,2135.356,,3285.383,5420.739,1372.143,1040.153,-2618.872,,1823.864,108.373,1.23308,437.783,,-14.763,,133.633,133.633,178.33,193.093,,65.578,44.697,,2261.647,55.117,244.69000000000005,,,-297.47299999999996,5.683,13.631,-138.19299999999998,-263.215,355.91999999999996,63.453,7.570999999999998,123.994,,,78.58099999999999,-188.768,-45.488,133.633,27.269000000000002,34.257999999999996,-28.006,JBHT,US,676.062,,123.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,11.673,233.393,126.337,-419.178,487.59,109.514,109.514,1.036,0.081,686.333,466.845,55.166,,,59.966,0.0,41.564,160.317,,133.297,194.988,7.062999999999988,88.116,760.815,341.637,2206.91,,4.70827,2229.419,76.60674,479.65,298.408,55.247,1513.863,,715.556,2229.419,55.166,240.456,-1181.673,,258.571,76.884,0.99401,170.835,,0.032,,73.855,73.855,91.97,91.938,,,18.115,28.308,429.406,47.391,78.89699999999999,3.198,30.287,-38.785,0.08200000000000002,23.708,3.5660000000000025,-28.00500000000001,61.43999999999997,-68.98599999999999,4.948,13.447999999999997,-0.7029999999999998,,54.994,-17.741,37.001,73.85500000000002,7.888,10.779999999999998,-32.984,JKHY,US,228.685,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,10.67,226.575,116.383,-404.07,481.005,72.513,72.513,1.036,,686.332,474.813,,,,60.168,0.0,51.217,216.101,,133.802,191.973,0.0,77.426,750.492,346.422,2166.039,,4.24434,2187.439,76.71423,427.731,343.154,0.0,1486.746,,700.693,2187.439,0.0,226.575,-1161.334,,249.267,76.935,0.93713,169.852,,0.19,,72.098,72.098,93.894,93.704,,,21.796,27.187,419.119,48.961,76.14800000000002,,29.493,-50.19499999999999,0.096,25.172,-66.15700000000001,-49.97,91.961,-28.095,1.7750000000000004,12.656,-0.552,,,-34.873999999999995,-24.165999999999997,72.09799999999998,4.033999999999999,0.22500000000000142,-30.731,JKHY,US,223.737,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,13.621,255.595,106.752,-388.332,475.222,96.679,96.679,1.035,,686.03,472.228,,,,54.33,0.0,50.893,272.705,,134.278,183.76,0.0,80.956,733.839,345.507,2124.672,,4.13895,2225.978,76.92823,484.123,393.078,0.0,1476.66,,749.318,2225.978,0.0,255.595,-1124.269,,245.791,77.067,1.15964,192.214,,0.352,,89.37,89.37,118.539,118.187,,,29.169,24.591,438.005,49.436,74.02699999999999,,29.38,-44.0,0.097,1.09,-44.576,-75.425,123.052,-13.626,2.359,12.708,-2.072,,,-11.733,3.051,89.37,2.861,-31.425,-30.771,JKHY,US,221.962,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,9.85,310.08,120.36,-388.481,472.029,93.628,93.628,1.035,,666.944,451.136,,,,,0.0,41.457,339.752,,68.844,224.827,17.817000000000007,106.466,660.955,272.474,2066.073,,4.03871,2184.829,76.98812,569.448,469.962,0.0,1429.013,,755.816,2184.829,0.0,327.897,-1110.124,,240.04,77.155,0.79053,153.469,,-0.227,,60.993,60.993,79.19,79.417,,,18.197,24.92,393.509,49.132,74.05199999999999,0.0,28.64999999999999,-42.640000000000015,0.408,14.361000000000004,-96.921,-42.608000000000004,197.759,87.227,4.317,12.655999999999999,-0.1750000000000007,,-35.0,-30.971000000000004,58.230000000000004,60.992999999999995,3.9160000000000004,0.03200000000000003,-30.775000000000006,JKHY,US,217.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27,1030.263,3178.58,1178.612,,2569.417,1655.879,1655.879,129.985,,5596.156,689.795,3099.456,,51.2,,0.0,0.0,416.009,-946.317,1797.29,619.488,0.0,332.395,,1062.32,3808.698,,-5.57117,13134.613,129.98489,5166.854,2624.884,3099.456,5561.783,,7572.83,13134.613,3099.456,3178.58,,,2779.045,132.531,-0.92029,648.135,,-14.169,-6.284,-92.087,-115.683,-176.805,167.778,-330.414,,-61.122,,3427.18,480.357,480.35699999999997,,22.094,-39.077,,,1187.525,-330.992,152.154,-143.45800000000003,-29.046999999999997,22.566000000000003,-2.215,27.979999999999997,1500.755,-273.103,1036.667,-85.80099999999999,365.79999999999995,-291.915,-37.912000000000006,J,US,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-27,1032.82,3056.115,1162.872,,2605.765,619.212,619.212,133.001,,5437.422,645.468,1414.903,,57.746,,199.936,4.022,436.008,-880.166,1891.849,670.185,0.0,699.237,,1068.898,4145.825,,-0.58996,12200.559,133.00149,4378.586,2831.636,1614.839,6004.425,,6196.134,12200.559,1414.903,3056.115,,,2715.477,133.3105,1.34577,644.572,,-13.871,-6.256,256.975,185.681,254.171,151.347,116.695,,68.49,,3360.049,493.225,493.22500000000036,,21.845,-22.26,,,166.865,-34.26,-137.186,-395.926,102.487,22.152,-24.334,-7.275,210.616,6.201,-11.856,263.267,-151.011,-12.0,-25.618,J,US,,0.0,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-27,1072.645,2840.209,1384.379,-496.788,2559.45,631.068,631.068,132.879,,5432.544,665.076,1201.245,,53.967,,199.901,0.952,416.781,-916.812,1419.102,945.18,0.0,639.539,804.931,308.143,3939.174,,-2.88178,11462.711,132.8794,4111.768,3073.706,1401.146,5714.691,,5748.02,11462.711,1201.245,2840.209,,,2727.329,136.107,0.83915,665.534,,-7.805,-7.467,142.25,65.882,53.54,99.088,-37.743,,-12.342,,3392.863,480.646,566.4459999999999,85.8,22.752000000000002,-29.307000000000002,81.582,291.7,-177.96399999999994,-29.596000000000004,-146.123,-269.916,-158.531,20.50800000000001,-0.6280000000000001,-13.490999999999996,157.04599999999982,-310.24299999999994,-367.174,149.79200000000003,89.27200000000005,-0.2889999999997599,-24.138999999999996,J,US,,,,,,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28,884.992,2779.189,1673.272,,2634.177,998.242,998.242,135.849,,5370.741,694.117,1025.198,,48.054,,222.687,2.704,508.497,-763.589,1218.499,795.193,0.0,695.81,,305.266,4053.626,,-0.0353,11641.262,135.84889,4475.945,3289.448,1247.885,6060.063,,5581.199,11641.262,1025.198,2779.189,,,2543.488,137.823,1.14096,626.134,,-15.58,-6.015,523.929,95.38,93.399,89.954,19.025,,-1.981,,3169.622,431.58,536.1800000000003,104.6,18.382999999999996,-45.190000000000005,,,-1943.681,2241.202,-165.081,71.899,83.6,25.851,-5.870000000000001,15.163999999999998,-1895.9589999999998,-15.985000000000014,147.60399999999998,531.0640000000001,-895.878,2286.392,-25.867000000000004,J,US,,0.0,,,,-0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-30,782.0,551.4,303.8,-1768.9,5794.1,391.1,391.1,29.0,2.2,6304.5,6429.0,5373.3,38.6,,,248.0,134.9,251.1,-382.8,464.0,107.8,0.0,,3886.7,2117.8,2746.8,,-39.82196,16970.4,114.07273,1972.7,1587.1,5627.0,8190.9,895.3,8779.5,16970.4,5376.8,551.4,,3.8,1303.6,113.7,2.02379,788.4,,-45.6,,226.3,226.3,298.4,346.7,-2.7,1.8,72.1,,2092.0,373.4,441.70000000000005,6.6,59.900000000000006,-76.4,,,127.39999999999998,-93.9,287.69999999999993,172.0,7.6,53.5,-7.7,-4.5,235.0,0.19999999999999973,316.7,226.29999999999995,-231.6,-17.5,-100.10000000000002,SJM,US,1351.6,,59.9,,,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,575.0,477.3,240.4,-1734.1,5787.2,74.4,74.4,29.0,502.0,6312.8,6491.4,4583.3,,,,310.0,92.2,450.0,-271.3,437.2,149.6,0.0,,3813.8,2079.7,2620.5,,-40.64737,16636.2,114.0,1602.7,2077.4,5399.0,8170.4,958.8,8465.8,16636.2,4587.0,477.3,,5.0,1212.3,113.4,2.02243,760.0,,-45.1,,187.4,187.4,242.5,289.0,-1.4,-2.4,55.1,,1972.3,358.9,471.0,55.7,58.80000000000001,-56.5,,,-420.90000000000003,-73.39999999999999,521.6,155.4,,53.29999999999998,-0.30000000000000004,-1.7,-319.70000000000005,-0.7999999999999998,25.6,187.40000000000003,66.7,-16.900000000000002,-100.1,SJM,US,1364.2,,58.8,,,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-31,521.8,522.4,258.6,-1687.1,5781.7,48.8,48.8,29.0,801.9,6313.6,6602.7,4584.5,,,,327.9,74.7,399.9,-252.9,419.8,146.8,0.0,,3755.8,2068.7,2533.0,,-42.25241,16791.0,114.1,1659.2,2310.1,5718.0,8095.3,1013.3,8695.7,16791.0,4588.2,522.4,,4.5,1203.8,113.4,1.87299,754.0,,-49.1,,211.2,211.2,279.1,329.8,-1.6,0.6,67.9,,1957.8,361.5,424.20000000000005,3.3,58.8,-63.400000000000006,,,-172.6,-52.1,224.0,-112.5,,52.60000000000001,1.0,0.7,-72.9,-0.5999999999999996,0.0,211.20000000000002,13.9,11.300000000000004,-100.1,SJM,US,1377.6,,58.8,,,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-31,503.1,473.7,248.5,-1648.6,5773.5,48.8,48.8,29.0,801.5,6313.3,6661.1,4685.3,,,,295.9,77.7,441.8,-221.1,416.9,145.3,0.0,,3707.0,2058.4,2421.9,,-43.56754,16791.6,114.0,1613.5,2290.8,5786.4,8007.7,1013.3,8783.9,16791.6,4689.0,473.7,,4.4,1079.3,113.3,1.37924,699.6,,-49.4,,154.6,154.6,206.7,257.6,-1.5,-0.6,52.1,,1778.9,380.5,442.0,3.3,58.8,-73.0,,,-222.6,-52.1,221.5,-49.1,,50.8,-0.2,0.7,-130.0,4.1,-52.5,154.6,6.4,20.9,-96.5,SJM,US,1387.2,,58.8,,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-30,591.0,503.8,227.7,-1619.7,5755.8,101.3,101.3,28.9,798.5,6310.9,6718.8,4686.3,40.9,,,426.0,109.8,298.3,-185.9,314.4,103.1,0.0,,3532.1,1912.4,2367.6,,-44.47949,16711.3,113.7423,1625.2,2341.5,5910.8,7970.5,910.3,8740.8,16711.3,4686.3,503.8,,4.1,1209.7,113.1,1.31197,692.4,,-49.1,,71.5,71.5,101.9,153.6,-2.6,-1.4,30.4,,1902.1,369.8,538.8,110.0,60.400000000000006,-92.60000000000002,,,-274.6,-101.40000000000009,274.20000000000005,90.0,-93.5,51.900000000000006,0.09999999999999998,-3.4,-178.0,-0.20000000000000018,-105.2,71.5,93.9,-8.800000000000182,-96.5,SJM,US,1398.6,,60.4,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-28,6765.0,14645,23043.0,-26458,,1528,19135.0,3120,5332,33890,47413,25062,1488,,,0.0,100,1632,-15533,28036,12099,0.0,2588,44056,17598,113898,15392,-6.96139,158380.0,2632.377,45892.0,36772.0,30394.0,62978.0,9424,95402.0,158380.0,25062.0,14645,-38507,0,6557,2665.5,1.60946,11779,-450,,,3626.0,3626.0,3940.0,3940.0,,-132,314,2707,18336,4993,7839.0,721,,-662,,,-357.0,-7522.0,3452.0,-1801.0,-482,1726,-77,71,2709,-330,-4356.0,3626,383,-6860.0,-2659,JNJ,US,5532,,,,,,,,,2215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-29,7411.0,14874,22158.0,-25846,,2424,18024.0,3120,2190,33471,47338,25393,826,,,0.0,102,1930,-16245,28875,11755,0.0,2358,43247,17401,112901,13101,-7.41341,155017.0,2632.392,44226.0,33689.0,27583.0,61294.0,8868,93723.0,155017.0,25393.0,14874,-38484,2,7047,2671.0,1.81045,13644,169,,,5796.0,5496.0,6509.0,6509.0,,-35,1013,2580,20691,5203,7135.0,-782,,-625,,,-4315.0,-581.0,3358.0,-3552.0,54,1747,-412,-237,-19,-1379,-1775.0,5796,-687,44.0,-2505,JNJ,US,5766,,,,,,,,,2499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-29,,14481,32496.0,-25674,,2864,19287.0,3120,1202,33639,47643,26494,1148,,,0.0,94,2266,-15891,29841,11409,0.0,2392,43332,18615,110659,13786,-8.28526,157728.0,2632.507,45274.0,35964.0,27696.0,59471.0,9020,98257.0,157728.0,26494.0,14481,-38417,0,7115,2672.9,2.42642,13632,-39,,,4010.0,4010.0,4218.0,4218.0,,-24,208,3232,20747,6039,9414.0,206,,-1260,,,-4072.0,-1344.0,6398.0,719.0,-350,1816,415,74,-1935,-52,1056.0,4010,203,-84.0,-2500,JNJ,US,5958,0.0,,,,,,,,2637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-29,7491.0,14801,22867.0,-25577,,1481,17945.0,3120,1799,33291,47846,26919,863,,,0.0,194,3005,-15534,28704,11177,0.0,2220,42625,18011,109242,13797,-8.71431,155521.0,2630.961,44333.0,35162.0,28718.0,58210.0,9173,97311.0,155521.0,26919.0,14801,-38619,1,6847,2669.9,1.66156,13882,-54,,,1753.0,1753.0,1647.0,1647.0,,4188,-106,2599,20729,5374,12235.0,128,,-745,,,-3893.0,-1645.0,7527.0,5266.0,-1432,1727,62,-116,55,-1511,1873.0,1753,213,-900.0,-2499,JNJ,US,6526,,,,,,,,,2667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,6912.0,14653,21021.0,-25657,,1368,15278.0,3120,1220,33661,49332,27699,963,,,0.0,194,2200,-14970,27555,11134,0.0,2411,42905,18228,109809,11295,-8.40555,155117.0,2642.065,41799.0,31353.0,28919.0,60785.0,9263,94332.0,155117.0,27699.0,14653,-37175,1,6902,2691.7,1.68131,13660,-55,,,5607.0,5607.0,7041.0,7041.0,,-1680,1434,2666,20562,5546,6619.0,142,,-837,,,-4534.0,-1788.0,5948.0,581.0,-332,1705,101,16,4,-2117,-358.0,5607,-1613,-951.0,-2522,JNJ,US,7725,,,,,,,,,2615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,,5344,,,,2342,2342.0,,2423,17759,5364,5671,834,1068,,,1458,4139,17805,6430,3140,0.0,,,3041,,,-7.14785,41278.0,744.0,11140.0,10304.0,8094.0,17805.0,1996,23473.0,41278.0,5671.0,5344,,,3511,744.0,0.28831,1832,-47,-58,-60,-182.0,-122.0,-123.0,-65.0,,,-1,,5343,1334,1897.0,610,,-97,,,607.0,-21.0,786.0,281.0,-87,202,-176,-36,974,3,1336.0,-182,572,76.0,-194,JCI,US,,,,,,,,3742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,3119.0,5492,1014.0,,16883.0,1006,1006.0,8.0,1086,18072,5391,5640,1082,1004,95.0,344.0,1427,3946,-1021,6165,1445,0.0,,,4362,3332.0,,-7.23118,40402.0,743.86236,9955.0,9509.0,7070.0,18084.0,2030,22318.0,40402.0,5640.0,5492,-1118.0,,3643,757.1,0.43657,1801,-20,-54,-23,213.0,236.0,249.0,308.0,-5.0,,13,,5444,1451,1493.0,62,,-124,,,-1186.0,-115.0,141.0,-258.0,-58,207,-12,7,-177,-798,-1153.0,213,37,9.0,-199,JCI,US,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,3336.0,5612,1166.0,,16848.0,2160,2160.0,8.0,1342,18351,5610,5920,1109,1102,99.0,20.0,1595,3828,-540,6470,1592,0.0,,,4432,4129.0,,-6.06245,42513.0,764.04723,11320.0,9692.0,7282.0,19329.0,1953,23184.0,42513.0,5920.0,5612,-1116.0,0.0,3773,774.0,0.31242,1803,-43,-47,-32,159.0,191.0,256.0,308.0,-5.0,,65,,5576,1427,1495.0,111,,-126,,,-850.0,-173.0,317.0,90.0,-3,207,-27,57,10,-630,-649.0,159,-136,-47.0,-203,JCI,US,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,3582.0,5770,953.0,,16812.0,2805,2805.0,8.0,501,18178,5632,6708,1107,1063,90.0,10.0,2004,4024,-795,5680,1539,0.0,,,3348,4827.0,,-5.20041,42287.0,777.63064,12393.0,9070.0,7219.0,19766.0,1814,22521.0,42287.0,6708.0,5770,-1086.0,0.0,4294,790.6,0.86536,1980,-55,-40,-42,612.0,654.0,27.0,75.0,-8.0,,-627,,6274,1960,1905.0,0,,-185,,,-1019.0,-139.0,374.0,-626.0,230,200,0,-96,-10,-801,-880.0,612,-42,46.0,-208,JCI,US,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,3671.0,6033,781.0,,16720.0,3685,3685.0,9.0,501,18312,5739,6804,1102,1046,85.0,20.0,1274,4269,-564,5614,1507,0.0,,,3282,6366.0,,-4.63487,43069.0,795.70656,13042.0,9242.0,7325.0,20363.0,2050,22706.0,43069.0,6804.0,6033,-2168.0,0.0,4307,875.2,0.3722,2144,-62,-52,-84,4192.0,225.0,464.0,523.0,-7.0,,239,,6451,1388,1621.0,295,,-123,,,-9468.0,12629.0,268.0,-40.0,-121,203,-10,14,-5163,-4062,3443.0,141,85,12752.0,-233,JCI,US,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,,,8516.0,,87857,,,4105,,47800,4067,299344,,,,,,,2242,203826,,,,,25882,220226,,58.85483,3139431.0,3047.02288,,,584460.0,261262.0,,2878169.0,3139431.0,299344.0,,-88407,5176.0,,3100.7,2.14716,,,,,2865.0,2865.0,3116.0,,,,251,,,,,,,-11985.0,4374,763,362305.0,-135150.0,-120772.0,-124916.0,-1329,2197,349078,-2480,19862,-3447,103903.0,2865,411,-123165.0,-3188,JPM,US,,30063,,,,-434,,245358,,,,,,375522,,,,,,,,3.00625,,,,,16800.7,,992131.0,,1675068.21,1836009.0,285116,19161.0,3885.0,10554.0,14439.0,-21250.0,13812.0,4722.0,,,
2019-12-31,,,8505.0,,88522,,,4105,,47823,5518,291498,,,,,,,-2488,137118,,,,,25813,223211,,58.68831,2687379.0,3084.02133,,,516093.0,261330.0,,2426049.0,2687379.0,291498.0,,-83070,4057.0,,3147.6,2.63228,,,,,8520.0,8520.0,10565.0,,,,2045,,,,,,,,9128,2146,-63019.0,-15832.0,83085.0,70686.0,1389,2139,-41155,2800,-10456,-8121,7034.0,8520,351,-15832.0,-3287,JPM,US,,26993,,,,-429,,201902,,,,,,249457,,,,,,,,2.69925,,,,,15192.8,,946646.0,,1394975.84,1562431.0,224595,19927.0,1427.0,12739.0,14166.0,-16339.0,14165.0,5761.0,,,
2019-09-30,,,8425.0,,88512,,,4105,,47818,5260,296472,,,,,,,-2388,156858,,,,,25117,217888,,58.31592,2764661.0,3136.48492,,,593131.0,264348.0,,2500313.0,2764661.0,296472.0,,-76320,4188.0,,3207.2,2.68582,,,,,9080.0,9080.0,11405.0,,,,2325,,,,,,,,6996,586,39537.0,-65605.0,17695.0,6387.0,-398,2145,60646,-3068,-12555,-5579,-11441.0,9080,481,-65605.0,-2975,JPM,US,,28363,,,,-474,,216638,,,,,,267610,,,,,,,,2.83625,,,,,14850.499999999998,,931983.0,,1470113.15,1525261.0,296659,21121.0,1514.0,12714.0,14228.0,-16422.0,15113.0,6893.0,,,
2019-06-30,,,8404.0,,88359,,,4105,,47477,5825,288869,,,,,,,-2595,173224,,,,,24665,212093,,57.20746,2727379.0,3197.48499,,,550442.0,263215.0,,2464164.0,2727379.0,288869.0,,-69449,3709.0,,3259.7,2.8379,,,,,9652.0,9652.0,11342.0,,,,1690,,,,,,,,6458,2358,-12966.0,-8877.0,-13854.0,-25801.0,-275,2046,15339,1131,-20047,-5210,-34566.0,9652,524,-8877.0,-3048,JPM,US,,26993,,,,-460,,207733,,,,,,261367,,,,,,,,2.69925,,,,,16214.8,,943723.0,,1426022.44,1524361.0,261573,21603.0,1149.0,13249.0,14398.0,-16341.0,14434.0,7205.0,,,
2020-06-30,238.0,754.7,523.8,,,1460.3,1857.9,,,3337.1,161.3,1720.1,712.4,,,,,834.5,4464.3,960.8,573.7,0.0,388.6,,955.8,,397.6,2.91502,8741.5,331.35235,3001.2,1596.3,1720.1,4464.3,,4277.2,8741.5,1720.1,754.7,,,466.7,333.1,0.19845,619.6,,,,61.2,61.2,86.1,90.5,-4.4,,24.9,241.0,1086.3,283.3,529.0999999999999,4.8,,-21.999999999999996,,,-63.099999999999994,20.599999999999994,97.60000000000002,-63.599999999999994,,52.0,4.8,6.299999999999999,0.0,-1.5999999999999943,61.39999999999998,61.199999999999996,48.0,42.60000000000002,-66.30000000000001,JNPR,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,236.4,675.1,445.4,,7281.3,1398.6,1921.6,0.0,,3337.1,170.7,1712.9,608.3,,,0.0,,854.7,-59.2,969.4,552.0,0.0,278.7,,968.7,-2831.4,523.0,2.66737,8609.5,331.0,2972.7,1536.5,1712.9,4390.7,97.3,4218.8,8609.5,1712.9,675.1,,,418.7,335.1,0.08002,579.3,,-10.9,,20.4,20.4,28.3,39.4,-0.2,,7.9,232.5,998.0,298.5,539.9000000000001,8.9,,-21.8,,,-241.6,168.9,272.2,135.0,,54.0,,-16.2,0.0,-176.1,183.3,20.4,62.8,190.7,-65.5,JNPR,US,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
